"from"	"to"	"ID"	"AOP_ID"	"woe"	"woe_score"	"quant"	"quant_score"	"adjacency"
"177"	"889"	"904"	"3"	"Moderate"	2	"Low"	3	"adjacent"
"889"	"890"	"905"	"3"	"High"	1	"Moderate"	2	"adjacent"
"188"	"890"	"906"	"3"	"Moderate"	2	"Moderate"	2	"adjacent"
"890"	"188"	"907"	"3"	"Moderate"	2	"Moderate"	2	"adjacent"
"890"	"896"	"910"	"3"	"High"	1	"High"	1	"adjacent"
"888"	"887"	"933"	"3"	"High"	1	"Low"	3	"adjacent"
"887"	"177"	"934"	"3"	"High"	1	"Moderate"	2	"adjacent"
"177"	"890"	"908"	"3"	"Moderate"	2	"Low"	3	"non-adjacent"
"103"	"1264"	"1343"	"4"	"High"	1	"Low"	3	"adjacent"
"1264"	"1265"	"1344"	"4"	"High"	1	"Low"	3	"adjacent"
"1265"	"988"	"1345"	"4"	"Moderate"	2	"Low"	3	"adjacent"
"988"	"1266"	"1346"	"4"	"Moderate"	2	"Low"	3	"adjacent"
"1266"	"1267"	"1347"	"4"	"Moderate"	2	"Low"	3	"adjacent"
"1267"	"1268"	"1348"	"4"	"Moderate"	2	"Low"	3	"adjacent"
"1268"	"993"	"1349"	"4"	"Moderate"	2	"Low"	3	"adjacent"
"993"	"990"	"1010"	"4"	"Moderate"	2	"Low"	3	"adjacent"
"990"	"351"	"1190"	"4"	"High"	1	"High"	1	"adjacent"
"858"	"859"	"878"	"6"	"High"	1	"High"	1	"adjacent"
"858"	"860"	"879"	"6"	"High"	1	"Not Specified"	3	"non-adjacent"
"858"	"861"	"880"	"6"	"Moderate"	2	"Not Specified"	3	"non-adjacent"
"860"	"861"	"882"	"6"	"High"	1	"Moderate"	2	"adjacent"
"861"	"862"	"883"	"6"	"High"	1	"Moderate"	2	"adjacent"
"863"	"864"	"885"	"6"	"High"	1	"High"	1	"adjacent"
"1000"	"858"	"1024"	"6"	"High"	1	"Moderate"	2	"adjacent"
"859"	"860"	"881"	"6"	"Moderate"	2	"Not Specified"	3	"adjacent"
"862"	"863"	"884"	"6"	"Moderate"	2	"Low"	3	"adjacent"
"998"	"1000"	"1023"	"6"	"High"	1	"Moderate"	2	"adjacent"
"219"	"405"	"392"	"7"	"High"	1	"Not Specified"	3	"adjacent"
"3"	"219"	"5"	"7, 23, 25, 122, 123"	"High"	1	"Low"	3	"adjacent"
"408"	"3"	"396"	"7"	"Moderate"	2	"Not Specified"	3	"adjacent"
"405"	"406"	"394"	"7"	"Moderate"	2	"Not Specified"	3	"adjacent"
"667"	"64"	"666"	"10"	"High"	1	"High"	1	"adjacent"
"64"	"669"	"667"	"10"	"High"	1	"High"	1	"adjacent"
